GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
kony1248,95.0598,26.6823,0,,Konyak Naga,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],nbe,Konyak Naga [kony1248][nbe]
kony1250,-8.89972,8.04788,0,,Konyanka Maninka,,African Savannah,Africa,Africa,African Savannah,0,0,Mande [mand1469],mku,Konyanka Maninka [kony1250][mku]
konz1239,29.8696,0.32395,0,,Konzo,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],koo,Konzo [konz1239][koo]
koon1244,14.4771,-5.57722,0,,Koongo,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],kng,Koongo [koon1244][kng]
koon1245,13.5415,3.25933,0,,Koonzime,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ozm,Koonzime [koon1245][ozm]
kooo1244,31.5399,10.7321,0,,Ko,,African Savannah,Africa,Africa,African Savannah,0,0,Heiban [heib1242],fuj,Ko [kooo1244][fuj]
koor1239,37.8679,5.80545,0,,Koorete,,Greater Abyssinia,Africa,Africa,Greater Abyssinia,0,0,Ta-Ne-Omotic [gong1255],kqy,Koorete [koor1239][kqy]
kopa1248,144.466,-3.98259,0,,Kopar,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Lower Sepik-Ramu [lowe1437],xop,Kopar [kopa1248][xop]
kopk1238,139.926,-4.91191,0,,Kopkaka,,Interior New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],opk,Kopkaka [kopk1238][opk]
kora1291,-2.48113,29.4957,0,,Korandje,,N Africa,Africa,Africa,N Africa,0,0,Songhay [song1307],kcy,Korandje [kora1291][kcy]
kora1292,20.5,-29.5,739,Korana,Korana,,S Africa,Africa,Africa,S Africa,0,0,Khoe-Kwadi [khoe1240],kqz,Korana [kora1292][kqz]
kora1294,149.08,-9.05,1806,Korafe,Korafe-Yegha,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],kpr,Korafe-Yegha [kora1294][kpr]
kora1296,145.514,-4.5998,0,,Korak,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],koz,Korak [kora1296][koz]
kore1273,128,37,1842,Sign Language South Korean,Korean Sign Language,,N Coast Asia,N-C Asia,N-C Asia,N Coast Asia,0,0,Sign Language [sign1238],kvk,Korean Sign Language [kore1273][kvk]
kore1279,44.895,37.794,0,,Koresh-e Rostam,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Indo-European [indo1319],okh,Koresh-e Rostam [kore1279][okh]
kore1280,128,37.5,141,Korean,Korean,,N Coast Asia,N-C Asia,N-C Asia,N Coast Asia,0,0,Koreanic [kore1284],kor,Korean [kore1280][kor]
kore1283,-75.5,1,1169,Koreguaje,Koreguaje,,NE South America,S America,S America,NE South America,0,0,Tucanoan [tuca1253],coe,Koreguaje [kore1283][coe]
kork1243,77.8,21.1,1737,Korku,Korku,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Austroasiatic [aust1305],kfq,Korku [kork1243][kfq]
korl1238,73.0099,19.0348,0,,Korlai Creole Portuguese,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],vkp,Korlai Creole Portuguese [korl1238][vkp]
koro1296,53.008,29.441,0,,Koroshi,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Indo-European [indo1319],ktl,Koroshi [koro1296][ktl]
koro1298,-0.92,14.25,546,Koromfe,Koromf,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kfz,Koromfé [koro1298][kfz]
koro1304,8.80859,5.16206,0,,Korop,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],krp,Korop [koro1304][krp]
koro1306,-5.73572,8.11966,0,,Koro (Cte d'Ivoire),,African Savannah,Africa,Africa,African Savannah,0,0,Mande [mand1469],kfo,Koro {Côte d\Ivoire} [koro1306][kfo]
koro1308,167.467,-14.2943,0,,Koro (Vanuatu),,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],krf,Koro {Vanuatu} [koro1308][krf]
koro1309,147.143,-2.03429,0,,Koro (Papua New Guinea),,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],kxr,Koro {Papua New Guinea} [koro1309][kxr]
koro1310,125.007,6.20529,0,,Koronadal Blaan,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],bpr,Koronadal Blaan [koro1310][bpr]
koro1311,121.977,-2.6367,0,,Koroni,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],xkq,Koroni [koro1311][xkq]
koro1312,140,-5.25,656,Korowai,Korowai,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],khe,Korowai [koro1312][khe]
koro1313,155.742,-6.39399,0,,Koromira,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,South Bougainville [sout2948],kqj,Koromira [koro1313][kqj]
koro1316,92.8,26.6,0,,Koro,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Sino-Tibetan [sino1245],jkr,Koro [koro1316][jkr]
korr1238,75.2,12.9163,0,,Korra Koraga,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Dravidian [drav1251],kfd,Korra Koraga [korr1238][kfd]
koru1245,139.678,-4.53497,0,,Korupun-Sela,,Interior New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],kpq,Korupun-Sela [koru1245][kpq]
koru1247,-70.5094,-5.3655,0,,Korubo,,NE South America,S America,S America,NE South America,0,0,Pano-Tacanan [pano1259],xor,Korubo [koru1247][xor]
korw1242,83.8142,23.4102,0,,Korwa,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Austroasiatic [aust1305],kfp,Korwa [korw1242][kfp]
kory1246,167,61,1808,Koryak,Koryak,,N Coast Asia,N-C Asia,N-C Asia,N Coast Asia,0,0,Chukotko-Kamchatkan [chuk1271],kpy,Koryak [kory1246][kpy]
kosa1249,139.5,-4.08,1770,Yale (Kosarek),Kosarek Yale,,Interior New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],kkl,Kosarek Yale [kosa1249][kkl]
kosa1251,140.197,-3.78748,0,,Kosadle,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Kosadle [kosa1251][kiq],kiq,Kosadle [kosa1251][kiq]
kose1239,145.66,-6.46,3081,Kosena,Kosena,,Interior New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],kze,Kosena [kose1239][kze]
kosh1246,10.299,6.5817,0,,Koshin,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kid,Koshin [kosh1246][kid]
kosr1238,163,5.3,1819,Kosraean,Kosraean,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],kos,Kosraean [kosr1238][kos]
kota1263,77,11,142,Kota,Kota (India),,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Dravidian [drav1251],kfe,Kota {India} [kota1263][kfe]
kota1272,1.72346,6.64027,0,,Kotafon Gbe,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kqk,Kotafon Gbe [kota1272][kqk]
kota1274,14.3796,0.077515,0,,Kota (Gabon),,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],koq,Kota {Gabon} [kota1274][koq]
kota1275,116.297,-0.27049,0,,Kota Bangun Kutai Malay,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],mqg,Kota Bangun Kutai Malay [kota1275][mqg]
kota1278,116.946,6.377,0,,Kota Marudu Tinagas,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],ktr,Kota Marudu Tinagas [kota1278][ktr]
kota1279,116.853,6.48554,0,,Kota Marudu Talantang,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],grm,Kota Marudu Talantang [kota1279][grm]
koti1238,39.5,-16.5,1465,Ekoti,Koti,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],eko,Koti [koti1238][eko]
kott1239,94,57,777,Kott,Kott,,Inner Asia,N-C Asia,N-C Asia,Inner Asia,0,0,Yeniseian [yeni1252],zko,Kott [kott1239][zko]
kouy1238,-6.5685,7.27375,0,,Kouya,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kyf,Kouya [kouy1238][kyf]
kova1243,147.862,-5.61712,0,,Kovai,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],kqb,Kovai [kova1243][kqb]
kove1237,149.63,-5.58623,0,,Kove,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],kvc,Kove [kove1237][kvc]
kowa1245,145.412,-4.63032,0,,Kowaki,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],xow,Kowaki [kowa1245][xow]
kowi1239,133.468,-4.21954,0,,Kowiai,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],kwh,Kowiai [kowi1239][kwh]
koya1251,81.33,17.5,1736,Koya,Koya,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Dravidian [drav1251],kff,Koya [koya1251][kff]
koya1253,-6.23255,8.29177,0,,Koyaga,,African Savannah,Africa,Africa,African Savannah,0,0,Mande [mand1469],kga,Koyaga [koya1253][kga]
koyo1242,15.7508,-0.69688,0,,Koyo,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],koh,Koyo [koyo1242][koh]
koyr1240,-3,17,443,Songhai (Koyra Chiini),Koyra Chiini Songhay,,African Savannah,Africa,Africa,African Savannah,0,0,Songhay [song1307],khq,Koyra Chiini Songhay [koyr1240][khq]
koyr1242,0,16,144,Koroboro Senni,Koyraboro Senni Songhai,,African Savannah,Africa,Africa,African Savannah,0,0,Songhay [song1307],ses,Koyraboro Senni Songhai [koyr1242][ses]
koys1242,44.6365,36.0451,0,,Koy Sanjaq Surat,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Afro-Asiatic [afro1255],kqd,Koy Sanjaq Surat [koys1242][kqd]
koyu1237,-155,65,1798,Koyukon,Koyukon,,Alaska-Oregon,W N America,W N America,Alaska-Oregon,0,0,Athapaskan-Eyak-Tlingit [atha1245],koy,Koyukon [koyu1237][koy]
kpag1238,20.1584,4.96154,0,,Kpagua,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],kuw,Kpagua [kpag1238][kuw]
kpal1241,20.3108,4.51093,0,,Kpala,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],kpl,Kpala [kpal1241][kpl]
kpan1246,10.17,7.58,1803,Kpan,Kpan,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kpk,Kpan [kpan1246][kpk]
kpas1242,11.231,8.75286,0,,Kpasam,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],pbn,Kpasam [kpas1242][pbn]
kpat1244,21.8594,5.17203,0,,Kpatili,,African Savannah,Africa,Africa,African Savannah,0,0,Bookkeeping [book1242],kym,Kpatili [kpat1244][kym]
kpat1246,10.1129,7.70605,0,,Kpati,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],koc,Kpati [kpat1246][koc]
kpee1234,-5.67,10.76,0,,Kpeego,,African Savannah,Africa,Africa,African Savannah,0,0,Mande [mand1469],'Kpeego [kpee1234]',Kpeego [kpee1234]
kpel1252,-10,7,1800,Kpelle,,,African Savannah,Africa,Africa,African Savannah,0,0,Mande [mand1469],'Kpelle [kpel1252]',Kpelle [kpel1252]
kpes1238,1.21078,8.05471,0,,Kpessi,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kef,Kpessi [kpes1238][kef]
kpla1238,-0.80295,8.06653,0,,Kplang,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kph,Kplang [kpla1238][kph]
krac1238,0.01925,7.93475,0,,Krache,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kye,Krache [krac1238][kye]
krah1246,-48,-8,2755,Krah,Krah,,NE South America,S America,S America,NE South America,0,0,Nuclear-Macro-Je [nucl1710],xra,Krahô [krah1246][xra]
krao1238,106.539,12.8107,0,,Kraol,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austroasiatic [aust1305],rka,Kraol [krao1238][rka]
kren1239,-41.23,-19,3114,Krenak,Krenak,,SE South America,S America,S America,SE South America,0,0,Nuclear-Macro-Je [nucl1710],kqq,Krenak [kren1239][kqq]
krey1238,-45.9776,-5.29266,0,,Kreye,,NE South America,S America,S America,NE South America,0,0,Nuclear-Macro-Je [nucl1710],xre,Kreye [krey1238][xre]
krik1239,-46.7504,-5.94252,0,,Krikati-Timbira,,NE South America,S America,S America,NE South America,0,0,Nuclear-Macro-Je [nucl1710],xri,Krikati-Timbira [krik1239][xri]
krim1238,-11.8393,7.24116,0,,Krim,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],krm,Krim [krim1238][krm]
krio1252,135,-14.83,2379,Kriol (Ngukurr),Kriol,,N Australia,Australia,Australia,N Australia,0,0,Indo-European [indo1319],rop,Kriol [krio1252][rop]
krio1252,125.58,-18.17,778,Kriol (Fitzroy Crossing),Kriol,,N Australia,Australia,Australia,N Australia,0,0,Indo-European [indo1319],rop,Kriol [krio1252][rop]
krio1253,-14.3204,10.8811,0,,Krio,,African Savannah,Africa,Africa,African Savannah,0,0,Indo-European [indo1319],kri,Krio [krio1253][kri]
kris1246,141.28,-2.83,307,Krisa,Krisa,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Sko [skoo1245],ksi,Krisa [kris1246][ksi]
krob1245,-4.47739,5.86161,0,,Krobu,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kxb,Krobu [krob1245][kxb]
kron1241,30,10.5,495,Krongo,Krongo,,African Savannah,Africa,Africa,African Savannah,0,0,Kadugli-Krongo [kadu1256],kgo,Krongo [kron1241][kgo]
krun1240,106.761,13.5699,0,,Kru'ng 2,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austroasiatic [aust1305],krr,Kru\ng 2 [krun1240][krr]
krym1236,34.25,45,1444,Krymchak,Krymchak,,Inner Asia,W and SW Eurasia,W and SW Eurasia,Inner Asia,0,0,Turkic [turk1311],jct,Krymchak [krym1236][jct]
kryt1240,48.25,41.22,1816,Kryz,Kryz,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Nakh-Daghestanian [nakh1245],kry,Kryz [kryt1240][kry]
kuaa1238,26.0158,-22.0237,0,,Kua,,S Africa,Africa,Africa,S Africa,0,0,Khoe-Kwadi [khoe1240],tyu,Kua [kuaa1238][tyu]
kual1252,110.42,-0.42,779,Kuala,,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],'Kuala [kual1252]',Kuala [kual1252]
kuam1234,103.33,26.35,0,,Kuamasi,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],yku,Kuamasi [kuam1234][yku]
kuan1246,105.31,18.0769,0,,Kuan,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Tai-Kadai [taik1256],uan,Kuan [kuan1246][uan]
kuan1247,16.58,-17.7176,0,,Kuanyama,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],kua,Kuanyama [kuan1247][kua]
kuan1248,152.08,-4.25,381,Tolai,Kuanua,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],ksd,Kuanua [kuan1248][ksd]
kuan1249,103.33,26.45,0,,Kua-nsi,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],ykn,Kua-nsi [kuan1249][ykn]
kuan1250,101.158,21.9802,0,,Kuanhua,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Bookkeeping [book1242],xnh,Kuanhua [kuan1250][xnh]
kube1244,147.536,-6.42586,0,,Kube (Papua New Guinea),,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],kgf,Kube {Papua New Guinea} [kube1244][kgf]
kubi1239,10.2746,10.6274,0,,Kubi,,African Savannah,Africa,Africa,African Savannah,0,0,Afro-Asiatic [afro1255],kof,Kubi [kubi1239][kof]
kubo1242,142.183,-5.92584,0,,Kubo,,Interior New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,0,East Strickland [east2433],jko,Kubo [kubo1242][jko]
kubu1239,102.193,-2.42661,0,,Kubu,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],kvb,Kubu [kubu1239][kvb]
kuco1235,100.97,21.2078,0,,Kucong,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],lkc,Kucong [kuco1235][lkc]
kudi1237,75.4896,12.3301,0,,Kudiya,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Dravidian [drav1251],kfg,Kudiya [kudi1237][kfg]
kudm1238,87.33,25.92,0,,Kudmali,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],kyw,Kudmali [kudm1238][kyw]
kudu1241,9.07725,11.0819,0,,Kudu-Camo,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kov,Kudu-Camo [kudu1241][kov]
kuga1239,12.1295,8.91972,0,,Kugama,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kow,Kugama [kuga1239][kow]
kugb1241,6.56333,4.72951,0,,Kugbo,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kes,Kugbo [kugb1241][kes]
kuii1252,83.59,19.2,1841,Kui (India),Kui (India),,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Dravidian [drav1251],kxu,Kui {India} [kuii1252][kxu]
kuii1253,124,-8.3,146,Kui (Indonesia),Kui (Indonesia),,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Timor-Alor-Pantar [timo1261],kvd,Kui {Indonesia} [kuii1253][kvd]
kuij1237,116.108,5.47179,0,,Kuijau,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],dkr,Kuijau [kuij1237][dkr]
kuik1246,-53.08,-12.42,3153,Kuikro,Kuikro-Kalaplo,,NE South America,S America,S America,NE South America,0,0,Cariban [cari1283],kui,Kuikúro-Kalapálo [kuik1246][kui]
kuja1239,22.1956,11.7473,0,,Kujarge,,African Savannah,Africa,Africa,African Savannah,0,0,Kujarge [kuja1239][vkj],vkj,Kujarge [kuja1239][vkj]
kuka1246,127.666,-20.3321,0,,Kukatja,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],kux,Kukatja [kuka1246][kux]
kuke1242,8.39343,6.70286,0,,Kukele,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kez,Kukele [kuke1242][kez]
kukk1239,10.1841,6.43762,0,,Kuk,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kfn,Kuk [kukk1239][kfn]
kukn1238,73.5,20.75,1732,Kokni,Kukna,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],kex,Kukna [kukn1238][kex]
kuku1273,145,-16,1579,Kuku-Yalanji,Kuku-Yalanji,,N Australia,Australia,Australia,N Australia,0,0,Pama-Nyungan [pama1250],gvn,Kuku-Yalanji [kuku1273][gvn]
kuku1279,141.824,-14.2866,0,,Kuku-Mangk,,N Australia,Australia,Australia,N Australia,0,0,Bookkeeping [book1242],xmq,Kuku-Mangk [kuku1279][xmq]
kuku1280,142,-14.42,2679,Kugu Nganhcara,Kuku-Uwanh,,N Australia,Australia,Australia,N Australia,0,0,Pama-Nyungan [pama1250],uwa,Kuku-Uwanh [kuku1280][uwa]
kuku1281,141.569,-13.9882,0,,Kuku-Ugbanh,,N Australia,Australia,Australia,N Australia,0,0,Pama-Nyungan [pama1250],ugb,Kuku-Ugbanh [kuku1281][ugb]
kuku1282,141.709,-14.201,0,,Kuku-Mu'inh,,N Australia,Australia,Australia,N Australia,0,0,Pama-Nyungan [pama1250],xmp,Kuku-Mu\inh [kuku1282][xmp]
kuku1283,141.625,-14.0959,0,,Kuku-Muminh,,N Australia,Australia,Australia,N Australia,0,0,Pama-Nyungan [pama1250],xmh,Kuku-Muminh [kuku1283][xmh]
kula1280,125,-8.2,364,Tanglapui,Kula (Indonesia),,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Timor-Alor-Pantar [timo1261],tpg,Kula {Indonesia} [kula1280][tpg]
kule1247,8.97756,8.96481,0,,Kulere,,African Savannah,Africa,Africa,African Savannah,0,0,Afro-Asiatic [afro1255],kul,Kulere [kule1247][kul]
kulf1238,18.9055,9.96327,0,,Kulfa,,African Savannah,Africa,Africa,African Savannah,0,0,Central Sudanic [cent2225],kxj,Kulfa [kulf1238][kxj]
kuli1251,143.5,-34.5,783,Madimadi,,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],'Kulin [kuli1251]',Kulin [kuli1251]
kuli1251,145,-36,408,Wemba Wemba,,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],'Kulin [kuli1251]',Kulin [kuli1251]
kuli1254,123.045,-4.58411,0,,Kulisusu,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],vkl,Kulisusu [kuli1254][vkl]
kuli1255,-72.0438,-6.17715,0,,Kulina Pano,,NE South America,S America,S America,NE South America,0,0,Pano-Tacanan [pano1259],xpk,Kulina Pano [kuli1255][xpk]
kull1236,77.3772,31.8339,0,,Kullu Pahari,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],kfx,Kullu Pahari [kull1236][kfx]
kulo1237,120.74,24.26,3116,Pazeh,Kulon-Pazeh,,Southeast Asia,S/SE Asia,S/SE Asia,Oceania,0,1,Austronesian [aust1307],uun,Kulon-Pazeh [kulo1237][uun]
kulu1253,87,27.5,1775,Kulung,Kulung (Nepal),Himalaya,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Sino-Tibetan [sino1245],kle,Kulung {Nepal} [kulu1253][kle]
kulu1255,11.0465,9.20815,0,,Kulung (Nigeria),,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bbu,Kulung {Nigeria} [kulu1255][bbu]
kuma1273,80,30.67,1340,Kumauni (Johari),Kumaoni,Himalaya,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],kfy,Kumaoni [kuma1273][kfy]
kuma1273,80,30,1738,Kumauni,Kumaoni,Himalaya,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],kfy,Kumaoni [kuma1273][kfy]
kuma1274,87.2699,24.1217,0,,Kumarbhag Paharia,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Dravidian [drav1251],kmj,Kumarbhag Paharia [kuma1274][kmj]
kuma1275,33.2116,1.74748,0,,Kumam,,S Africa,Africa,Africa,S Africa,0,0,Nilotic [nilo1247],kdi,Kumam [kuma1275][kdi]
kuma1276,164.08,-20.25,2152,Nelemwa,Kumak,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],nee,Kumak [kuma1276][nee]
kuma1278,146.57,-7.1135,0,,Kumalu,,Interior New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,0,Austronesian [aust1307],ksl,Kumalu [kuma1278][ksl]
kuma1280,145,-5.92,1835,Kuman,Kuman,,Interior New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],kue,Kuman [kuma1280][kue]
kumb1238,12.0415,8.82122,0,,Kumba,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ksm,Kumba [kumb1238][ksm]
kumb1268,152.5,-30.17,1744,Gumbaynggir,Kumbainggar,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],kgs,Kumbainggar [kumb1268][kgs]
kumb1274,123.154,-5.34485,0,,Kumbewaha,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],xks,Kumbewaha [kumb1274][xks]
kumh1238,84.1357,27.8297,0,,Kumhali,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],kra,Kumhali [kumh1238][kra]
kumi1248,-116.5,32.17,1261,Tiipay (Jamul),Kumiai,,Mesoamerica,C America,C America,Mesoamerica,0,0,Cochimi-Yuman [coch1271],dih,Kumiai [kumi1248][dih]
kumi1248,-116.17,32.67,1260,Diegueo (Mesa Grande),Kumiai,,California,C America,C America,Mesoamerica,0,1,Cochimi-Yuman [coch1271],dih,Kumiai [kumi1248][dih]
kumi1248,-117,33,63,Diegueo,Kumiai,,California,W N America,C America,Mesoamerica,1,1,Cochimi-Yuman [coch1271],dih,Kumiai [kumi1248][dih]
kumu1247,147.411,-6.03128,0,,Kumukio,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],kuo,Kumukio [kumu1247][kuo]
kumy1244,47.33,43,1820,Kumyk,Kumyk,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Turkic [turk1311],kum,Kumyk [kumy1244][kum]
kumz1235,56.4202,26.1602,0,,Kumzari,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Indo-European [indo1319],zum,Kumzari [kumz1235][zum]
kuna1268,37,14.5,147,Kunama,Kunama,,Greater Abyssinia,Africa,Africa,Greater Abyssinia,0,0,Kunama [kuna1268][kun],kun,Kunama [kuna1268][kun]
kunb1251,134,-12,2724,Gunbalang,Kunbarlang,,N Australia,Australia,Australia,N Australia,0,0,Gunwinyguan [gunw1250],wlg,Kunbarlang [kunb1251][wlg]
kund1255,30.2804,-15.7337,0,,Kunda (Sena),,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],kdn,Kunda {Sena} [kund1255][kdn]
kung1258,143.222,-24.2182,0,,Kunggari,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],kgl,Kunggari [kung1258][kgl]
kung1259,130.881,-12.7,0,,Kungarakany,,N Australia,Australia,Australia,N Australia,0,0,Kungarakany [kung1259][ggk],ggk,Kungarakany [kung1259][ggk]
