GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
ache1245,30.3187,10.8827,0,,Acheron,,African Savannah,Africa,Africa,African Savannah,0,0,Narrow Talodi [narr1279],acz,Acheron [ache1245][acz]
ache1246,-55.17,-25.25,1572,Ach,Ach,,SE South America,S America,S America,SE South America,0,0,Tupian [tupi1275],guq,Aché [ache1246][guq]
achi1256,-90.5,15.17,826,Ach,Achi,,Mesoamerica,C America,C America,Mesoamerica,0,0,Mayan [maya1287],acr,Achi [achi1256][acr]
achi1257,95.5,5.5,9,Acehnese,Achinese,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],ace,Achinese [achi1257][ace]
acht1238,6.47521,52.021,0,,Achterhoeks,,Europe,W and SW Eurasia,W and SW Eurasia,Europe,0,0,Indo-European [indo1319],act,Achterhoeks [acht1238][act]
achu1247,-121,41.5,828,Achumawi,Achumawi,,Basin and Plains,W N America,W N America,Basin and Plains,0,0,Palaihnihan [pala1350],acv,Achumawi [achu1247][acv]
achu1248,-76,-3,832,Achuar,Achuar-Shiwiar,,NE South America,S America,S America,NE South America,0,0,Jivaroan [jiva1245],acu,Achuar-Shiwiar [achu1248][acu]
acol1236,32.67,3,603,Acholi,Acoli,,S Africa,Africa,Africa,S Africa,0,0,Nilotic [nilo1247],ach,Acoli [acol1236][ach]
acro1239,-40.2145,-12.594,0,,Acro,,NE South America,S America,S America,NE South America,0,0,Nuclear-Macro-Je [nucl1710],acs,Acroá [acro1239][acs]
adab1235,125.576,-8.22674,0,,Adabe,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Bookkeeping [book1242],adb,Adabe [adab1235][adb]
adai1235,-92.0059,31.6314,0,,Adai,,E North America,E N America,E N America,E North America,0,0,Adai [adai1235][xad],xad,Adai [adai1235][xad]
adam1238,-0.17,5.83,836,Sign Language Adamorobe,Adamorobe Sign Language,,African Savannah,Africa,Africa,African Savannah,0,0,Sign Language [sign1238],ads,Adamorobe Sign Language [adam1238][ads]
adam1253,-9,13,80,Fula,Adamawa Fulfulde,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],fub,Adamawa Fulfulde [adam1253][fub]
adam1253,11.25,10.25,1290,Fulani (Gombe),Adamawa Fulfulde,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],fub,Adamawa Fulfulde [adam1253][fub]
adan1247,0.63,5.76,3046,Dangme,Adangme,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ada,Adangme [adan1247][ada]
adan1248,0.727155,6.50546,0,,Adangbe,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],adq,Adangbe [adan1248][adq]
adan1251,124,-8.3,2878,Adang,Adang,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Timor-Alor-Pantar [timo1261],adn,Adang [adan1251][adn]
adap1234,90.3369,27.141,0,,Adap,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Bookkeeping [book1242],adp,Adap [adap1234][adp]
