Language,ISO,Country
Bosngun,bgs,Papua New Guinea
Borei ~ Gamay,gai,Papua New Guinea
Breri,brq,Papua New Guinea
Gorovu,grq,Papua New Guinea
Igana,igg,Papua New Guinea
Inapang,mzu,Papua New Guinea
Itutang,itu,Papua New Guinea
Kaian,kct,Papua New Guinea
Kanggape ~ Igom,igm,Papua New Guinea
Kire,geb,Papua New Guinea
Kominimung,xoi,Papua New Guinea
Rao,rao,Papua New Guinea
Romkun,rmk,Papua New Guinea
Sepen,spm,Papua New Guinea
Tanguat,tbs,Papua New Guinea
Tanggu,tgu,Papua New Guinea
Watam,wax,Papua New Guinea
Massep,mvs,Indonesia (Papua)
Molof,msl,Indonesia (Papua)
Langam,lnm,Papua New Guinea
Mongol,mgt,Papua New Guinea
Yaul,yla,Papua New Guinea
Mor,moq,Indonesia (Papua)
Morori,mok,Indonesia (Papua)
Murkim,rmh,Indonesia (Papua)
Gresi,grs,Indonesia (Papua)
Odiai ~ Busa,bhf,Papua New Guinea
Mian,mpt,Papua New Guinea
Agob,kit,Papua New Guinea
Idi,idi,Papua New Guinea
Papi,ppe,Papua New Guinea
Suarmin ~ Duranmin,seo,Papua New Guinea
Dubu,dmu,Indonesia (Papua)
Emumu,enr,Indonesia (Papua)
Towei,ttn,Indonesia (Papua)
Yafi,wfg,Indonesia (Papua)
Pawaian,pwa,Papua New Guinea
Haruai,tmd,Papua New Guinea
Pinai-Hagahai,pnn,Papua New Guinea
Pyu,pby,Papua New Guinea
Anggor,agg,Papua New Guinea
Dera,kbv,Indonesia (Papua)
Demta,dmy,Indonesia (Papua)
Nafri,nxx,Indonesia (Papua)
Sentani,set,Indonesia (Papua)
Tabla,tnm,Indonesia (Papua)
Abau,aau,Papua New Guinea
Amal,aad,Papua New Guinea
Iwam,iwm,Papua New Guinea
"Iwam, Sepik",iws,Papua New Guinea
Ambulas,abt,Papua New Guinea
Boikin,bzf,Papua New Guinea
Burui,bry,Papua New Guinea
Gaikundi,gbf,Papua New Guinea
Hanga Hundi,wos,Papua New Guinea
Iatmul,ian,Papua New Guinea
Koiwat,kxt,Papua New Guinea
Malinguat ~ Sawos,sic,Papua New Guinea
Manambu,mle,Papua New Guinea
Ngala,nud,Papua New Guinea
Sengo,spk,Papua New Guinea
Yelogu ~ Kaunga,ylg,Papua New Guinea
Kwanga,kwj,Papua New Guinea
Kwoma,kmo,Papua New Guinea
Mende,sim,Papua New Guinea
Awtuw,kmn,Papua New Guinea
Karawa,xrw,Papua New Guinea
Pouye,bye,Papua New Guinea
Alamblak,amp,Papua New Guinea
Bahinemo,bjh,Papua New Guinea
Berinomo,bit,Papua New Guinea
Bikaru,bic,Papua New Guinea
Bisis,bnw,Papua New Guinea
Hewa,ham,Papua New Guinea
Kaningra,knr,Papua New Guinea
Kapriman ~ Sare,dju,Papua New Guinea
Mari,mbx,Papua New Guinea
Niksek,gbe,Papua New Guinea
Piame,pin,Papua New Guinea
Saniyo-Hiyewe,sny,Papua New Guinea
Sumariup,siv,Papua New Guinea
